decimal_rep	bias	avg_sensitivity	CF	NCF	cana_depth	expressions	isomorphisms
1	1	0.03515625	True	True	9	abcdefghi	512
340282366920938463481821351505477763073	3	0.08984375	True	True	9	a(b+c)defghi	18432
31	5	0.13671875	True	True	9	abcdef(g+hi)	129024
39402006196394479214415027136064523887590553065872314977980846013346449130061698275692255149584597951633472719159297	7	0.17578125	True	True	9	(a+(b+c))defghi	43008
39402006196394479212279040100143613805195531359702762863371864389254409679350820878446906985550369310503644436627457	7	0.18359375	True	False	5	(ab+cd)efghi	193536
31611240361787321350634878907371798844035602899889290183297421701989157113430289	9	0.22265625	True	False	5	(a+b)cde(f+g)hi	193536
511	9	0.21484375	True	True	9	abcde(f+ghi)	258048
2047	11	0.25390625	True	True	9	abcde(f+g(h+i))	774144
16843263	11	0.26171875	True	False	4	abcd(ef+ghi)	645120
6277197517819508820305825828020716048610421399380406894593	13	0.28515625	True	True	9	a(b+(c+de))fghi	387072
726838724464837218599029455425263326888406060066394789825554878788750296833113747870880144400143091464408212943425130992865447577124865	15	0.30859375	True	True	9	(a+(b+(c+d)))efghi	64512
2039583	15	0.33203125	True	False	4	abcd(e+f)(g+hi)	1935360
72340172838076927	15	0.33984375	True	False	3	abc(def+ghi)	430080
117901311	17	0.36328125	True	False	4	abcd(ef+g(h+i))	1935360
131071	17	0.33984375	True	True	9	abcd(e+fghi)	322560
17956863	19	0.37890625	True	True	9	abcd(e+(f+g)hi)	1935360
281479271809023	19	0.38671875	True	False	3	abc(de+fghi)	645120
1491457614214473285440822983648509035548959	21	0.44140625	True	False	3	a(b+c)de(fg+hi)	1935360
2097151	21	0.41015625	True	True	9	abcd(e+f(g+hi))	3870720
14705595333139156818793515096103364297408503913135310817870961744148802027126911	21	0.41796875	True	False	4	(a+b)cdef(g+(h+i))	645120
5192376087906286159508272029237247	23	0.46484375	True	False	2	ab(cde+fghi)	645120
8388607	23	0.43359375	True	True	9	abcd(e+f(g+(h+i)))	1290240
287309823	23	0.44140625	True	False	5	abcd(e+(fg+hi))	967680
10548753377005165405878656362202817101855	25	0.48828125	True	False	3	a(b+cd)ef(g+hi)	3870720
125304831	25	0.46484375	True	False	5	abcd(e+(f+g)(h+i))	967680
33554431	25	0.45703125	True	True	9	abcd(e+(f+ghi))	645120
76843841186037759	25	0.48828125	True	False	3	abc(de+(f+g)hi)	3870720
650279603185913403713760602726968005232503	27	0.52734375	True	False	3	a(b+c)de(f+g)(h+i)	645120
134217727	27	0.48046875	True	True	9	abcd(e+(f+g(h+i)))	1935360
2194761777663	27	0.50390625	True	False	3	abc(d+e)(f+ghi)	2580480
536870911	29	0.49609375	True	True	9	abcd(e+(f+(g+hi)))	645120
506381209866536959	29	0.53515625	True	False	3	abc(def+g(h+i))	2580480
2147483647	31	0.50390625	True	True	9	abcd(e+(f+(g+(h+i))))	64512
1766874025136433896750911497805568136923323180981774075523881651146981375	31	0.58984375	True	False	1	a(bcde+fghi)	161280
8725857424113663	31	0.56640625	True	False	3	abc(de+f(g+hi))	7741440
5731465400311866747240212742422207904090227199	33	0.61328125	True	False	2	a(b+c)d(ef+ghi)	3870720
8791932209151	33	0.58984375	True	False	3	abc(d+e)(f+g(h+i))	7741440
