decimal_rep	bias	avg_sensitivity	CF	NCF	cana_depth	expressions	isomorphisms
1	1	0.109375	True	True	7	abcdefg	128
18446744078004518913	3	0.265625	True	True	7	(a+b)cdefg	2688
18447025552981295105	5	0.390625	True	True	7	(a+bc)defg	13440
4383	7	0.515625	True	False	3	abc(de+fg)	13440
79229371458530977775699951617	7	0.484375	True	True	7	(a+(b+c))defg	4480
30065229831	9	0.609375	True	False	3	a(b+c)de(f+g)	13440
511	9	0.578125	True	True	7	abc(d+efg)	17920
16843263	11	0.703125	True	False	2	ab(cd+efg)	26880
2047	11	0.671875	True	True	7	abc(d+e(f+g))	53760
30591	13	0.734375	True	True	7	abc(de+(f+g))	26880
2039583	15	0.859375	True	False	2	ab(c+d)(e+fg)	80640
72340172838076927	15	0.890625	True	False	1	a(bcd+efg)	8960
32767	15	0.765625	True	True	7	abc(d+(e+(f+g)))	4480
131071	17	0.828125	True	True	7	ab(c+defg)	13440
117901311	17	0.921875	True	False	2	ab(cd+e(f+g))	80640
524287	19	0.921875	True	True	7	ab(c+de(f+g))	80640
281479271809023	19	0.953125	True	False	1	a(bc+defg)	13440
80852079293893806395679	21	1.109375	True	False	1	(a+b)c(de+fg)	40320
554605600209716844429899661319	21	1.015625	True	False	2	(a+(b+c))de(f+g)	26880
2097151	21	0.984375	True	True	7	ab(c+d(e+fg))	161280
5192376087906286159508272029237247	23	1.140625	False	False	0	(abc+defg)	4480
287309823	23	1.046875	True	False	3	ab(c+(de+fg))	40320
8388607	23	1.015625	True	True	7	ab(c+d(e+(f+g)))	53760
1970354902269951	25	1.171875	True	False	1	a(bc+de(f+g))	80640
133666119455	25	1.171875	True	False	1	a(b+cd)(e+fg)	80640
125304831	25	1.078125	True	False	3	ab(c+(d+e)(f+g))	40320
33554431	25	1.046875	True	True	7	ab(c+(d+efg))	26880
9426286223860309164543	27	1.171875	True	False	1	(a+b)c(d+efg)	53760
8207807743863	27	1.265625	True	False	1	a(b+c)(d+e)(f+g)	13440
134217727	27	1.078125	True	True	7	ab(c+(d+e(f+g)))	80640
506381209866536959	29	1.234375	True	False	1	a(bcd+e(f+g))	53760
536870911	29	1.078125	True	True	7	ab(c+(d+(e+fg)))	26880
2147483647	31	1.046875	True	True	7	ab(c+(d+(e+(f+g))))	2688
8725857424113663	31	1.296875	True	False	1	a(bc+d(e+fg))	161280
37760485127675250214911	33	1.328125	True	False	1	(a+b)c(d+e(f+g))	161280
8589934591	33	1.078125	True	True	7	a(b+cdefg)	5376
310703361999522627240133119	33	1.421875	False	False	0	(a+b)(cd+efg)	26880
