decimal_rep	bias	avg_sensitivity	CF	NCF	cana_depth	expressions	isomorphisms
1	1	0.01953125	True	True	10	abcdefghij	1024
4295032833	3	0.05078125	True	True	10	abcd(e+f)ghij	46080
115792089237316195429848086744074588617446056455769168919041760803882641915905	5	0.078125	True	True	10	a(b+cd)efghij	368640
127	7	0.1015625	True	True	10	abcdefg(h+(i+j))	122880
1552518092300708935148979488462502555256886017116696611139052038026050952686390294138808351425746051975485936543258552571992172437492537952888009039071254801973346087635212238826042061564373548322173208845697334362600084385464057857	7	0.10546875	True	False	6	(ab+cd)efghij	645120
31611240361787321350634878907371798844035602899889290183297421701989157113430289	9	0.12890625	True	False	6	a(b+c)def(g+h)ij	645120
115792089264276142096998726540203105341796590047689226336812880642240023625729	9	0.125	True	True	10	a(b+cde)fghij	860160
1552518092300708935148979488462502555256886017116696611139052038026050952686390294138808351425746051975485936543258552571992172437492537952888009039071254801973346114595158905976681857692890272672706800765754752133719922742845767681	11	0.15234375	True	False	5	(ab+cde)fghij	2580480
2047	11	0.1484375	True	True	10	abcdef(g+h(i+j))	2580480
39402006205568473678375313183005130705208687471240917129467941988193389155131088031078578416175602780924866222620673	13	0.16796875	True	True	10	a(b+(c+de))fghij	1290240
2381976569001166381972599823723216764935	15	0.1953125	True	False	5	ab(c+de)fgh(i+j)	7741440
32767	15	0.18359375	True	True	10	abcdef(g+(h+(i+j)))	215040
72340172838076927	15	0.19921875	True	False	4	abcd(efg+hij)	2150400
28638903925142975638851156300055399216591976457777913407014243879824018428256240765590497980663081525874441773470609194560210781709249058515553150455856439149921661257180270054334237733869113844654358780254405097689327092229006959748833887505440833537	17	0.21484375	True	False	5	(ab+c(d+e))fghij	7741440
13407807933064345650616855954052280575871561581766254847276938654647315779524473594410390215120323278624403973746456073439568718650819676618587381889499137	17	0.203125	True	True	10	(a+bcde)fghij	1290240
1552518092300708935148979488462502555261448457734318806357693209631751244011283522646060033104876287324341058144915622154259259110279462729877576900394300020109554070957345666827142350925067115086954562586727553377594308427952160769	19	0.2265625	True	True	10	(a+(b+c)de)fghij	7741440
281479271809023	19	0.23046875	True	False	4	abcd(ef+ghij)	3225600
10867626646104962546042856419237517886830139204140231644503852467422258708078984658522398379494276711453696481973270885523529971503023851421947260445810580023163136804622789331884180632534305471196730362050522476752651036675698327559	21	0.25	True	False	5	(a+(b+c))defgh(i+j)	2580480
4562440618684471204522036204610158368642229004560432594617385137146959687213683656805970448078936731166659642492224305649319571364724046947642912264171527234702611288019949330603928881693982721	21	0.24609375	True	True	10	(a+b(c+de))fghij	15482880
58766422156938403087432951567136223576742060391656460174562369807832491743812863916049742205750079235192702713531489243234792770956946758665925366840878436639	21	0.26171875	True	False	4	(a+b)cdef(gh+ij)	9676800
5192376087906286159508272029237247	23	0.27734375	True	False	3	abc(def+ghij)	4300800
528294531135665246352339784916516606520399844128422231063109688515136405111986307932152636970000761968905056104312147794217786400925949400338173668847284333771364234491198835291342464593959846497878007455596762356645936490647331710898362509248772894571035356633248038913	23	0.265625	True	False	6	(a+(bc+de))fghij	3870720
84162174444369509363047648492557931458934031467869867251102187298593809265835959756231825250112746111673226788512798573475466243063076465474272906035325026060097600745476145338912739096670129952326200894456594433	23	0.26171875	True	True	10	(a+b(c+(d+e)))fghij	5160960
133666119455	25	0.29296875	True	False	4	abcd(e+fg)(h+ij)	19353600
28638903925142975638851156300055399216676138632222282916377291528315514083729293932459457980870434712675726831820958004528150768873805190552687493469077223633232999300840848627487050699967538835091911504858965813818459719174927267814383509707847368705	25	0.28125	True	False	6	(a+(b+c)(d+e))fghij	3870720
1552518092662182721947793502516357996422126032118227843314987992653396267087903883915705626082434299594108995559518746101625158394627394963752187559400456400005056983679316831320150549810371495443241789839027540716509867635086721025	25	0.27734375	True	True	10	(a+(b+cde))fghij	2580480
76843841186037759	25	0.29296875	True	False	4	abcd(ef+(g+h)ij)	19353600
6174979349942993036805916786948700639856749408039647362503963946467502145814455461875570345106184061566788598544294068551454949910333740965172391883169839122183	27	0.31640625	True	False	4	(a+b)cde(f+g)h(i+j)	3225600
9426286223860309164543	27	0.3046875	True	False	4	abc(d+e)f(g+hij)	12902400
28638903925142975638851156300416873003390790471831768848179483894825549660431929389816312604433964460216619426044363930261939096762480924456189549516555330636595891913474826081785872803621373893477004582771081759055058945427455872369345116032724893697	27	0.29296875	True	True	10	(a+(b+c(d+e)))fghij	7741440
2139062271	29	0.3046875	True	True	10	abcde(fg+(h+(i+j)))	2580480
72340172854788095	29	0.32421875	True	False	4	abcd(e(f+g)+hij)	12902400
9745314013669006814765012891420939382276454670243864229651019856186550527521029071046875497217987420812052286149461773226115535001380264835768616988075646761792025559628190902627367428190134163282553825368613847129333486129788198021188984639139965094901551803542442420955280878312966062081	31	0.3125	True	True	10	(a+(b+(c+(d+e))))fghij	258048
8725857424113663	31	0.34375	True	False	4	abcd(ef+g(h+ij))	38707200
1766874025136433896750911497805568136923323180981774075523881651146981375	31	0.35546875	True	False	2	ab(cdef+ghij)	1612800
10867626646104962546042856419237517886798202119816876277973364266182356668804732058971658459980222363828401555802809868003945207062447765670216063273498783613813422802166112341836773003850231908708947605360283264936039459199920373767	33	0.37109375	True	False	3	(ab+cde)fgh(i+j)	25804800
19595832251300126854661737886996136738370098769540461931433994942729019264184884457699430417834312519425916065167944002772260406147193490022089394208142607524179689021188632037682244109820533195696832513	33	0.359375	True	False	4	(a+b(c+d))(e+f)ghij	38707200
8589934591	33	0.328125	True	True	10	abcd(e+fghij)	1290240
79228162532711081675843436543	35	0.35546875	True	False	3	abc(de+fghij)	2580480
1176821039103	35	0.3515625	True	True	10	abcd(e+f(g+h)ij)	12902400
1702791607102709831645901174772142458194883514002176057830851741445382270772600298536520286750844962094069356018961282709989490242305469631323663980568772735	35	0.37109375	True	False	4	(a+bc)defg(h+(i+j))	12902400
80853312998717016445215	35	0.390625	True	False	3	abc(d+ef)(gh+ij)	38707200
35747867511488511	37	0.3828125	True	False	4	abcd(ef+g(h+(i+j)))	12902400
1417518671998416121545758263963942911	37	0.40234375	True	False	3	abc(def+(g+h)ij)	25804800
