decimal_rep	bias	avg_sensitivity	CF	NCF	cana_depth	expressions	isomorphisms
1	1	0.0625	True	True	8	abcdefgh	256
4295032833	3	0.15625	True	True	8	ab(c+d)efgh	7168
31	5	0.234375	True	True	8	abcde(f+gh)	43008
6277101735386680764176071790128604879584177077448784019457	7	0.3125	True	False	4	(ab+cd)efgh	53760
6277101736848182401506974708411517874814724153223283736577	7	0.296875	True	True	8	(a+(b+c))defgh	14336
1911	9	0.375	True	False	4	abcd(e+f)(g+h)	53760
511	9	0.359375	True	True	8	abcd(e+fgh)	71680
1461523938416389008123852738184089783721235906561	11	0.421875	True	True	8	(a+b(c+d))efgh	215040
16843263	11	0.4375	True	False	3	abc(de+fgh)	143360
26960358049567071833025758531567443250298050725965797573758388600833	13	0.46875	True	True	8	(ab+(c+d))efgh	107520
32767	15	0.5	True	True	8	abcd(e+(f+(g+h)))	17920
10548753374549092367936461896669810655263	15	0.546875	True	False	3	(a+b)cde(f+gh)	430080
72340172838076927	15	0.5625	True	False	2	ab(cde+fgh)	71680
117901311	17	0.59375	True	False	3	abc(de+f(g+h))	430080
131071	17	0.546875	True	True	8	abc(d+efgh)	71680
281479271809023	19	0.625	True	False	2	ab(cd+efgh)	107520
524287	19	0.609375	True	True	8	abc(d+ef(g+h))	430080
43215860598959184862191311641195675910271	21	0.671875	True	False	3	(a+b)cde(f+(g+h))	143360
80852079293893806395679	21	0.71875	True	False	2	a(b+c)d(ef+gh)	322560
2097151	21	0.65625	True	True	8	abc(d+e(f+gh))	860160
287309823	23	0.703125	True	False	4	abc(d+(ef+gh))	215040
8388607	23	0.6875	True	True	8	abc(d+e(f+(g+h)))	286720
5192376087906286159508272029237247	23	0.75	True	False	1	a(bcd+efgh)	71680
125304831	25	0.734375	True	False	4	abc(d+(e+f)(g+h))	215040
33554431	25	0.71875	True	True	8	abc(d+(e+fgh))	143360
1970354902269951	25	0.78125	True	False	2	ab(cd+ef(g+h))	645120
571857792142420148255	25	0.78125	True	False	2	a(b+cd)e(f+gh)	645120
650279603185913403713760602726968005232503	27	0.84375	True	False	2	(a+b)cd(e+f)(g+h)	107520
173884289496599554839210710619299136930303	27	0.796875	True	False	2	(a+b)cd(e+fgh)	430080
134217727	27	0.75	True	True	8	abc(d+(e+f(g+h)))	430080
506381209866536959	29	0.84375	True	False	2	ab(cde+f(g+h))	430080
536870911	29	0.765625	True	True	8	abc(d+(e+(f+gh)))	143360
8725857424113663	31	0.890625	True	False	2	ab(cd+e(f+gh))	1290240
1766874025136433896750911497805568136923323180981774075523881651146981375	31	0.9375	False	False	0	(abcd+efgh)	8960
2147483647	31	0.765625	True	True	8	abc(d+(e+(f+(g+h))))	14336
696558005087161034747288306531712981010431	33	0.921875	True	False	2	(a+b)cd(e+f(g+h))	1290240
8589934591	33	0.796875	True	True	8	ab(c+defgh)	43008
5731465400311866747240212742422207904090227199	33	0.96875	True	False	1	(a+b)c(de+fgh)	430080
80853312998717016445215	35	1.015625	True	False	1	a(b+cd)(ef+gh)	645120
79228162532711081675843436543	35	0.875	True	False	1	a(bc+defgh)	43008
2342772245228624478335	35	0.9375	True	False	2	a(b+cd)e(f+(g+h))	430080
34359738367	35	0.859375	True	True	8	ab(c+def(g+h))	430080
1233723648051773439	37	1.0	True	False	2	ab(cd+(ef+gh))	107520
137438953471	37	0.90625	True	True	8	ab(c+de(f+gh))	1290240
35747867511488511	37	0.953125	True	False	2	ab(cd+e(f+(g+h)))	430080
36346632615344003116557904204267519	37	1.03125	True	False	1	a(bcd+ef(g+h))	430080
188722506346969502831180309720972102752086355081760583016308720205831	39	1.0	True	False	2	(ab+(c+d))ef(g+h)	645120
549755813887	39	0.9375	True	True	8	ab(c+de(f+(g+h)))	430080
506381209882853375	39	1.0	True	False	2	ab(c(d+e)+f(g+h))	645120
18829136625663	39	0.953125	True	False	4	ab(c+d(ef+gh))	645120
26959946673427741531515197488526605382048662297355296634331188953087	39	1.0	False	False	0	(abc+defgh)	14336
554597137728977571705134252031	41	1.03125	True	False	1	a(bc+def(g+h))	430080
2199023255551	41	0.96875	True	True	8	ab(c+d(e+fgh))	860160
8211977469951	41	0.984375	True	False	4	ab(c+d(e+f)(g+h))	645120
72341268037894143	43	1.015625	True	False	3	ab(c+(de+fgh))	430080
537906888301871103	43	1.0625	True	False	2	ab(cd+(e+f)(g+h))	322560
8796093022207	43	1.0	True	True	8	ab(c+d(e+f(g+h)))	2580480
37623665626848690698133279	45	1.171875	True	False	1	a(b+c)(d+e)(f+gh)	645120
24616085236810599231077234872125278955573695899053916671	45	1.21875	False	False	0	(a+b)(cde+fgh)	71680
604444463203974071222271	45	1.03125	True	False	2	a(b+c)d(e+(f+(g+h)))	107520
173884289537085145883999787131794823840255	45	1.09375	True	False	1	(a+bc)d(e+fgh)	860160
131391639519231	45	1.015625	True	True	8	ab(c+d(ef+(g+h)))	1290240
140737488355327	47	1.015625	True	True	8	ab(c+d(e+(f+(g+h))))	215040
8759946577444863	47	1.0625	True	False	3	ab(c+(d+e)(f+gh))	1290240
2456073038514043531822297513983	47	1.140625	True	False	1	a(bc+de(f+gh))	1290240
797191920394108457050361117346332819707190488835995570471039	49	1.203125	True	False	1	(ab+cd)e(f+(g+h))	215040
35887507618889599	49	1.09375	True	False	2	ab(c+(d+e))(f+(g+h))	71680
562949953421311	49	1.03125	True	True	8	ab(c+(d+efgh))	107520
27512536906199821789383722656133675187217448130458020357280031	49	1.3125	False	False	0	(ab+cd)(ef+gh)	80640
2242545357995114495	49	1.078125	True	False	3	ab(c(d+e)+(f+gh))	1290240
2251799813685247	51	1.0625	True	True	8	ab(c+(d+ef(g+h)))	645120
40119737170161678194832362010287651947654088703	51	1.25	True	False	1	(a+b)c(de+f(g+h))	1290240
2417833193048130298445823	51	1.109375	True	False	1	a(b+c)(d+efgh)	215040
160963658725094870944756432904388607	51	1.203125	True	False	1	a(bcd+e(f+gh))	860160
347257036380872670966401235681279	53	1.25	True	False	1	a(bc+d(ef+gh))	645120
9007199254740991	53	1.078125	True	True	8	ab(c+(d+e(f+gh)))	1290240
5192376087906286159789742710849535	53	1.15625	True	False	1	a(b(c+d)+efgh)	215040
10061976641654307372290950561791	53	1.203125	True	False	1	a(bc+de(f+(g+h)))	430080
35887509774794751	53	1.09375	True	False	3	ab(c+(d+e)(f+(g+h)))	430080
188719626713994190720606382419686237674340636081487076440292552867839	53	1.28125	False	False	0	(abc+def(g+h))	143360
5731465401646327525474708232103397025401340415	55	1.328125	False	False	0	(a+bc)(de+fgh)	430080
36028797018963967	55	1.078125	True	True	8	ab(c+(d+e(f+(g+h))))	430080
45307242090908059251839434883706783295358313103391	55	1.25	True	False	1	(a+b(c+d))e(f+gh)	2580480
8610732401905106943	55	1.09375	True	False	4	ab(cd+(ef+(g+h)))	322560
144115188075855871	57	1.078125	True	True	8	ab(c+(d+(e+fgh)))	143360
95782432850356534670201594315450188515514896097607679	57	1.28125	False	False	0	(a+b)(cd+efgh)	107520
9671388112424755207340031	57	1.234375	True	False	1	a(b+c)(d+ef(g+h))	1290240
538180155470774271	57	1.09375	True	False	4	ab(c+(d+(e+f)(g+h)))	322560
9187201950444158975	59	1.078125	True	True	8	ab(c(d+e)+(f+(g+h)))	430080
40485591054215362734165562753023	59	1.265625	True	False	1	a(bc+d(e+fgh))	860160
151405018600010877074333419700223	59	1.3125	True	False	1	a(bc+d(e+f)(g+h))	645120
12368118175955037277256380484638976958463262266872418528667171558028476415	61	1.34375	False	False	0	(abcd+ef(g+h))	107520
2305843009213693951	61	1.0625	True	True	8	ab(c+(d+(e+(f+gh))))	107520
38685607789931254842916863	63	1.3125	True	False	1	a(b+c)(d+e(f+gh))	2580480
9223372036854775807	63	1.03125	True	True	8	ab(c+(d+(e+(f+(g+h)))))	7168
3207598986782593870493972684755717093467514486576328633942527	63	1.390625	False	False	0	(ab+cd)(e+fgh)	215040
11995541419116876569279828667774410658770937856809695220598647	63	1.359375	True	False	1	(a+(b+c))d(e+f)(g+h)	215040
3207598987529421207170064075998285634030324042297097989390847	63	1.25	True	False	1	(a+(b+c))d(e+fgh)	286720
6405859422079010264769715593311368439179943083970847	63	1.5	False	False	0	(a+b)(c+d)(ef+gh)	161280
36346632615344003116839349115682815	63	1.3125	True	False	1	a(b(c+d)+ef(g+h))	1290240
659431763164098342257550547704872959	65	1.265625	True	False	1	a(bcd+e(f+(g+h)))	286720
162180048704459584181664011517951	65	1.328125	True	False	1	a(bc+d(e+f(g+h)))	2580480
835771099536579226823798514478590740759239572504939724786510046625823	65	1.328125	True	False	1	(ab+(c+d))e(f+gh)	1290240
22758184393293252237124756303859679231	65	1.375	True	False	1	a(bcd+(ef+gh))	215040
36893488147419103231	65	1.046875	True	True	8	a(b+cdefgh)	14336
6277101735386680764176071790128604879602623540043221827583	67	1.125	False	False	0	(ab+cdefgh)	7168
835758346876259987476971122144324766843508531218014195664138008526847	67	1.453125	False	False	0	(abc+de(f+gh))	430080
79229371476977440370137759743	67	1.109375	True	True	8	a(b+(c+d)efgh)	215040
2854495045129552841332850961988311301658509311	69	1.34375	True	False	1	(a+b)c(d+e(f+(g+h)))	860160
590295810358705651711	69	1.15625	True	True	8	a(b+cde(f+gh))	860160
97766466610075884936854056218659599638939566079	69	1.390625	True	False	1	(a+b)c(d+(ef+gh))	645120
2423668720038164699414343517732863	71	1.34375	True	False	1	a(bc+d(ef+(g+h)))	1290240
2361183241434822606847	71	1.1875	True	True	8	a(b+cde(f+(g+h)))	286720
80870526019142674284543	71	1.203125	True	False	4	a(b+cd(ef+gh))	645120
26960358049567071833025758531567443250298050725984244036352826408959	73	1.28125	False	False	0	(ab+(c+d)efgh)	107520
160963658725094870945037774735015935	73	1.390625	True	False	1	a(b(c+d)+e(f+gh))	2580480
35270174668932662689791	73	1.234375	True	False	4	a(b+cd(e+f)(g+h))	645120
9444732965739290427391	73	1.21875	True	True	8	a(b+cd(e+fgh))	860160
11150032319494459834013739774848377676660735	75	1.328125	True	False	1	(a+bc)d(e+(f+(g+h)))	215040
45484223505284301200465287991300734765761805885215	75	1.5625	False	False	0	(a+b)(c+de)(f+gh)	645120
670477029818693313194428946982464345983135361465319423	75	1.5625	False	False	0	(a+b)(cd+ef(g+h))	645120
37778931862957161709567	75	1.25	True	True	8	a(b+cd(e+f(g+h)))	2580480
618970001340061247554453503	75	1.375	True	False	1	a(b+c)(d+(e+fgh))	430080
2311466149194607059629768703	75	1.421875	True	False	1	a(b+c)(d+(e+f)(g+h))	645120
310703380373925437189914623	75	1.265625	True	False	3	a(b+c(de+fgh))	860160
161592413422954466088901845849210879	77	1.453125	True	False	1	a(bc+(d+e)(f+gh))	1290240
162182523375612911506857800959999	77	1.40625	True	False	1	a(b+(c+d))(e+f(g+h))	860160
12849227252336535524268418954393254188508810477537660887828479	77	1.578125	False	False	0	(ab+cd)(e+f(g+h))	645120
105726875431490727260553571348123507794705475185192065698789130751	77	1.515625	False	False	0	(a+(b+c))(de+fgh)	143360
2596069201709344013131632986816511	77	1.3125	True	False	1	a(bc+d(e+(f+(g+h))))	215040
564322794702922603036671	77	1.265625	True	True	8	a(b+cd(ef+(g+h)))	1290240
2456110515232898329262984003583	79	1.3125	True	False	3	a(b+(c+d)e(f+gh))	2580480
2653304180920112227508727006906810367	79	1.328125	True	False	2	a(bcd+(e+fgh))	143360
604462909807314587353087	79	1.265625	True	True	8	a(b+cd(e+(f+(g+h))))	215040
194590153796987103689458225493986751267127927419128590106623	79	1.390625	False	False	0	(ab+cde(f+gh))	430080
9922630703988912850820307847747207167	79	1.4375	True	False	1	a(bcd+(e+f)(g+h))	215040
2475880060700477224231370751	81	1.40625	True	False	1	a(b+c)(d+(e+f(g+h)))	1290240
3423913227525323174502430081042878883520180111764122672559519831162879	81	1.515625	False	False	0	(abc+de(f+(g+h)))	143360
2174895328418580842458120191	81	1.328125	True	False	3	a(b+c(de+f(g+h)))	2580480
746838732530772129887594037915151556564214217638399	81	1.546875	False	False	0	(a+b)(c+d)(e+fgh)	215040
173886942800780474942011933124640462799359	81	1.40625	False	False	0	(a+bcd)(e+fgh)	143360
2417851639229258349412351	81	1.28125	True	True	8	a(b+c(d+efgh))	430080
118165446269633791132631110592212111389519286849308265148254780634693631	81	1.625	False	False	0	(abc+d(ef+gh))	215040
2792972246313709472045385922614196917014116183770999	81	1.6875	False	False	0	(a+b)(c+d)(e+f)(g+h)	26880
22758184393293252237125018953707421695	83	1.46875	True	False	1	a(b(c+d)+(ef+gh))	645120
659431763164098342257831477212348415	83	1.390625	True	False	1	a(b(c+d)+e(f+(g+h)))	860160
9671406556917033397649407	83	1.3125	True	True	8	a(b+c(d+ef(g+h)))	2580480
10384514491324974185771533707771903	83	1.328125	True	False	2	a(bc+(d+efgh))	215040
44601150125078839835932947356460820656685055	85	1.40625	False	False	0	(a+bc)(d+efgh)	215040
