model	model_pmid	N	N_indeg1	gteq4_inps	random_ef	random_euf	random_cf	random_ecf	random_ncf	random_rof	random_nonncf_rof	bio_sens
bm0014	24970389	25	21	True	1.785235119047619	1.2495714285714286	1.081217261904762	1.2310238095238095	1.0007797619047618	1.057967261904762	1.1993720238095238	0.9375
bm0015	24970389	16	11	True	2.1199375	1.380255681818182	1.2941079545454546	1.3438181818181818	1.0014829545454544	1.0990965909090908	1.3634488636363635	0.6534090909090909
bm0016	23868318	24	18	True	1.1742708333333334	1.04825	0.634625	1.0444895833333334	1.0002569444444445	1.0128472222222222	1.0485763888888888	0.9340277777777778
bm0017	23868318	11	9	False	1.0443333333333333	1.0	0.5722222222222222	1.0	1.0	1.0	1.0	1.0
bm0020	22267503	28	28	True	2.2406231863839285	1.3777345145089286	1.3464182477678572	1.4139479631696428	1.0010345982142856	1.1053931361607143	1.3164888392857144	1.0193917410714286
bm0021	26528548	30	30	True	2.6664307291666667	1.3672171875	1.5516541666666668	1.6261072916666666	0.9997177083333333	1.1325348958333334	1.2378505208333332	0.7109375
bm0023	16873462	10	10	True	1.8957625	1.2990125	1.12031875	1.27943125	0.99645625	1.07515	1.25094375	1.01875
bm0024	17010384	16	16	False	1.08478125	1.0101875	0.590640625	1.00671875	0.9996875	1.0005	0.9996875	0.984375
bm0025	16542429	23	19	True	1.2129901315789473	1.0448190789473684	0.6955131578947369	1.0356282894736841	0.999421052631579	1.0062565789473685	1.0193881578947368	1.0361842105263157
bm0026	22253585	53	52	True	1.5080048076923076	1.1360706129807692	0.8966195913461539	1.1320772235576924	1.0000658052884615	1.02679296875	1.0773825120192309	1.0027043269230769
bm0027	26408858	81	67	True	1.4821532182835822	1.1199537663246268	0.8478895755597015	1.1498622901119404	1.0000258861940299	1.033775536380597	1.0906911147388059	0.9440881529850746
bm0028	32103059	18	17	True	1.629360294117647	1.2020735294117646	0.9838235294117647	1.1686433823529412	1.0003235294117647	1.0399779411764707	1.1631948529411764	0.9411764705882353
bm0029	26385365	15	15	True	2.2443635416666665	1.2904375	1.3493708333333334	1.4128145833333334	0.9987125	1.0980864583333334	1.2747333333333333	0.978125
bm0030	26090929	18	12	True	3.254430338541667	1.4863688151041667	1.8770133463541667	1.8796233723958333	0.9981598307291667	1.1881809895833333	1.3711018880208334	0.5901692708333334
bm0031	28639170	13	9	False	1.2569166666666667	1.0565277777777777	0.7478333333333333	1.0345833333333334	1.001	1.0000555555555555	0.9972222222222221	1.0555555555555556
bm0032	18463633	9	9	True	1.3101944444444444	1.0756666666666665	0.7796388888888889	1.0644722222222223	0.9981388888888889	1.0206388888888889	1.1111111111111112	0.9444444444444444
bm0033	23868318	26	12	True	1.4853177083333333	1.10024609375	0.8585963541666667	1.15416796875	0.9999635416666667	1.0332890625	1.05675	0.95703125
bm0034	26616283	23	19	True	1.4073824013157894	1.0886998355263158	0.8163067434210526	1.1092269736842104	1.0013042763157896	1.0221036184210526	1.0626578947368421	1.060032894736842
bm0035	22253585	33	33	True	1.4364715909090908	1.1295416666666667	0.8473068181818182	1.1065056818181818	1.0006363636363635	1.021785984848485	1.0798371212121212	1.0113636363636365
bm0036	22253585	26	25	True	1.391825	1.1089725	0.82672	1.0846075	0.999035	1.017705	1.06895	1.01
bm0038	23868318	23	14	True	1.1845535714285713	1.0375	0.68225	1.0276964285714285	1.000625	1.007232142857143	1.0361785714285714	0.9642857142857143
bm0039	19144179	73	55	True	1.195243181818182	1.0367602272727272	0.6937125	1.0289011363636364	1.00025	1.004440909090909	1.013690909090909	1.0113636363636365
bm0040	23868318	18	10	True	1.22215	1.0516	0.700775	1.0409	0.99885	1.0096	1.0501	0.925
bm0041	29206223	51	49	True	1.2658061224489796	1.0617461734693878	0.7401377551020408	1.0503903061224489	0.9993596938775511	1.0114617346938775	1.046107142857143	0.9846938775510204
bm0042	24970389	25	21	True	2.0010252976190475	1.2961584821428571	1.2192001488095239	1.3085238095238094	0.9979285714285714	1.0742589285714286	1.2110669642857144	0.9337797619047619
bm0043	28426669	16	16	True	1.4111875	1.114078125	0.8583125	1.080734375	1.0005625	1.013078125	1.06390625	1.0
bm0044	23056457	15	14	True	1.5935970982142857	1.1483091517857142	0.9300245535714285	1.1806082589285714	1.0006450892857144	1.0400714285714285	1.0770223214285715	0.9899553571428571
bm0045	19118495	20	19	True	1.5336184210526316	1.164421052631579	0.9163815789473684	1.1346118421052631	0.9957697368421052	1.0286315789473683	1.112032894736842	0.8388157894736842
bm0046	26340681	14	14	True	2.4150011160714286	1.3988392857142857	1.422625	1.495041294642857	0.9990591517857143	1.122896205357143	1.313357142857143	1.2745535714285714
bm0048	19185585	18	18	True	1.784361111111111	1.263611111111111	1.0715069444444445	1.2384131944444445	1.0016319444444444	1.0645416666666667	1.2282881944444444	1.1076388888888888
bm0049	27594840	26	26	True	1.7470274939903847	1.1906802884615384	1.0259646935096154	1.2344879807692308	0.9969203725961538	1.0507313701923078	1.1437358774038462	0.9673978365384616
bm0050	21968890	86	71	True	1.327625	1.0872588028169015	0.7732614436619718	1.0751883802816902	1.00006338028169	1.018801056338028	1.0754859154929577	0.8970070422535211
bm0051	25908096	22	20	True	1.27629375	1.071434375	0.722346875	1.0668625	1.0000125	1.016559375	1.0362625	1.04375
bm0053	19025648	34	34	False	1.0559191176470588	1.0050367647058824	0.5675367647058823	1.0028970588235293	0.9999705882352942	0.9999264705882352	0.9999558823529412	0.9926470588235294
bm0054	24250280	53	49	True	1.3306352040816327	1.0898035714285714	0.7826594387755103	1.0700714285714286	0.9998214285714285	1.0152193877551021	1.0660994897959184	1.0051020408163265
bm0055	24970389	16	11	True	2.1345965909090907	1.3820511363636363	1.2911193181818181	1.3577727272727274	1.002375	1.089625	1.2960454545454545	0.6875
bm0056	26573569	19	19	True	2.178510074013158	1.3066957236842105	1.289946751644737	1.4046212993421052	0.999043791118421	1.0917865953947368	1.2373766447368422	1.0526315789473684
bm0059	27542373	49	44	True	2.0194279119318184	1.2083187144886363	1.197337801846591	1.3443709161931818	0.9995252130681819	1.075786044034091	1.1932627840909091	1.193359375
bm0061	19422837	41	39	True	1.2508141025641026	1.0697628205128205	0.7148910256410257	1.0521858974358975	1.0007884615384615	1.0113782051282052	1.064397435897436	1.0064102564102564
bm0062	26446703	70	69	True	1.3424646739130435	1.0849963768115942	0.8002182971014493	1.0642844202898551	1.000320652173913	1.0154909420289855	1.0709728260869564	0.9918478260869565
bm0063	19662154	104	76	True	1.7375733835320724	1.1033387804533306	0.9942138928865132	1.2637815423262746	1.0001661441200658	1.0382415675113075	1.0671981265419408	0.9371048776726973
bm0064	28361666	42	28	True	1.2243861607142856	1.04840625	0.7060111607142857	1.0390200892857142	0.9992901785714285	1.0068660714285713	1.03059375	0.9977678571428571
bm0065	20303988	13	11	True	2.030943181818182	1.234927556818182	1.1621491477272727	1.3750667613636363	0.998859375	1.086818181818182	1.1730568181818182	1.1477272727272727
bm0068	25189528	18	17	True	1.9608189338235293	1.219689338235294	1.1906452205882352	1.2968538602941178	0.9991470588235294	1.0653400735294118	1.2005965073529412	0.8483455882352942
bm0069	25189528	69	59	True	1.4197666181144069	1.0898613612288135	0.8049234639830508	1.1302427833686441	1.0009282309322034	1.0298395789194916	1.0947777409957626	0.9463056144067796
bm0070	30104572	4	4	False	1.47175	1.123125	0.9428125	1.0731875	1.003375	1.006125	0.9955	1.1875
bm0071	29596489	21	18	True	1.4333715277777779	1.1141597222222221	0.8769618055555556	1.0869652777777778	1.0003125	1.018875	1.077013888888889	1.0173611111111112
bm0072	20221256	28	25	True	1.20079	1.04064	0.69649	1.02746	1.00008	1.00526	1.02038	1.03
bm0073	27613445	23	23	True	1.6533233695652174	1.2041222826086957	0.9974864130434783	1.1760842391304347	0.9980733695652174	1.048663043478261	1.200220108695652	0.9483695652173914
bm0074	25398016	8	8	True	1.796078125	1.2570625	1.0922109375	1.223203125	1.0005625	1.056875	1.217921875	0.640625
bm0075	32305736	20	20	True	1.306171875	1.079571875	0.759340625	1.066603125	1.002725	1.0129625	1.044271875	0.9875
bm0076	16968132	44	40	True	1.29598125	1.0895359375	0.736003125	1.072065625	1.0006875	1.015478125	1.0689625	1.0
bm0078	17722974	101	94	True	1.1983676861702128	1.052153590425532	0.6711688829787235	1.042348404255319	1.0006622340425533	1.0082785904255318	1.0275239361702129	0.9621010638297872
bm0079	23171249	24	14	True	1.9785887276785714	1.1428295200892857	1.1074185267857144	1.3812028459821428	0.9994575892857143	1.0703897879464286	1.0962073102678571	0.8842075892857143
bm0080	23233838	73	60	True	1.3351291015625	1.0532689778645834	0.7257479166666667	1.1190561197916666	1.0008118001302084	1.01601025390625	1.038643212890625	0.9294759114583333
bm0081	32913583	121	121	True	2.183244221332645	1.2601138623450414	1.2770306689049586	1.4224567407024793	0.9995791580578512	1.0924531572830578	1.197448992768595	0.98046875
bm0082	30875364	87	87	True	2.28542034841954	1.2649987877155173	1.3363080100574714	1.4672480693247127	1.0007691720545977	1.0997461386494254	1.1999550556752874	1.0180046695402298
bm0083	21639591	19	18	True	1.4870779079861112	1.0751187065972223	0.818931640625	1.1758324652777778	1.0028385416666667	1.0292886284722222	1.03719921875	0.9095052083333334
bm0084	31529614	14	14	True	1.3314966517857143	1.0484866071428571	0.7295223214285714	1.1075658482142856	1.0008549107142857	1.0238236607142857	1.0589743303571428	0.9631696428571429
bm0085	20169167	6	6	False	1.2262916666666668	1.0544166666666666	0.71425	1.0324166666666668	1.0023333333333333	0.997	0.99825	1.0
bm0086	25674559	57	51	True	1.8243979779411765	1.2213045343137254	1.0862077205882352	1.2544024203431372	0.9993788296568628	1.05721568627451	1.1737954963235293	0.8502604166666666
bm0087	30992399	95	95	True	1.4509699013157895	1.1218508223684212	0.8544398026315789	1.1200154605263157	1.0003161184210527	1.0265095394736843	1.074214802631579	0.9695723684210527
bm0088	30992399	40	40	True	1.24046875	1.05158125	0.73300625	1.0348875	0.99991875	1.00468125	1.025275	0.98125
bm0089	30992399	112	112	True	1.4688597935267858	1.1295534319196427	0.8635655691964286	1.1274729352678572	1.0005954241071429	1.028433314732143	1.0810736607142857	0.9814453125
bm0091	31841528	61	61	True	1.3090265112704917	1.0650108222336065	0.76179296875	1.071111488217213	0.9998230020491803	1.0127549948770491	1.0339572233606558	0.9667648565573771
bm0093	26238783	18	14	True	1.5254107142857143	1.1589464285714286	0.9282678571428571	1.1261428571428571	1.001267857142857	1.0353928571428572	1.1777857142857142	0.9285714285714286
bm0094	20824124	41	28	True	1.5866534598214286	1.142013950892857	0.9451422991071429	1.1617310267857144	1.0005982142857144	1.034200892857143	1.1083214285714287	0.9095982142857143
bm0095	28409298	5	5	True	1.5876	1.17225	0.99575	1.12925	0.99825	1.0377	1.2013	0.85
bm0096	28409298	9	9	False	1.0704444444444445	1.0	0.5842222222222222	1.0	1.0	1.0	1.0	1.0
bm0098	18301750	10	9	True	1.691111111111111	1.2280555555555555	0.9969791666666666	1.2019791666666666	1.0031666666666668	1.0475972222222223	1.1265416666666668	1.0625
bm0099	22595676	6	6	False	1.167	1.0	0.707	1.0	1.0	1.0	1.0	1.0
bm0102	22962472	68	62	True	1.173875	1.0382459677419356	0.6646895161290323	1.025508064516129	0.9996975806451613	1.003532258064516	1.0151290322580646	0.9879032258064516
bm0104	26090929	10	10	True	1.42778125	1.1362	0.82859375	1.1175875	1.002525	1.0324125	1.1374	0.95625
bm0105	28651594	18	18	True	2.1101666666666667	1.1799505208333334	1.1827942708333334	1.4342317708333334	1.0004835069444444	1.0930321180555556	1.1797682291666667	0.8706597222222222
bm0106	20920363	10	10	True	1.30235	1.084725	0.74815	1.066175	1.0009	1.017475	1.09945	0.925
