model	model_pmid	N	N_indeg1	gteq4_inps	random_ef	random_euf	random_cf	random_ecf	random_ncf	random_rof	random_nonncf_rof	bio_sens
bm0001	21563979	13	10	True	1.332125	1.083475	0.80345	1.057175	1.0001	1.011225	1.04955	1.0
bm0002	20862356	5	5	True	1.51115	1.1387	0.94335	1.09945	0.9995	1.02245	1.1022	0.8
bm0003	24970389	16	11	True	1.9065511363636363	1.2971931818181819	1.1811761363636364	1.2502727272727272	0.9983068181818182	1.0814659090909091	1.3975454545454544	0.6875
bm0004	23868318	24	11	True	1.729015625	1.1763224431818182	0.9750213068181818	1.2586704545454546	1.0032116477272728	1.0548352272727273	1.0972485795454545	0.8409090909090909
bm0005	24970389	25	21	True	1.7868630952380953	1.2493452380952381	1.0790059523809523	1.229077380952381	0.9985833333333334	1.0543005952380953	1.1764017857142857	0.9613095238095238
bm0006	23134720	19	18	True	1.2042777777777778	1.0475	0.6905972222222222	1.0326944444444444	1.0013472222222222	1.0039444444444445	1.0281111111111112	0.9861111111111112
bm0007	28209158	9	9	True	1.938611111111111	1.3056597222222222	1.1999166666666667	1.2613819444444445	1.0045277777777777	1.0624444444444445	1.2358194444444444	1.0625
bm0008	22102804	18	18	True	1.3507222222222222	1.0647222222222221	0.8478333333333333	1.0478055555555557	1.001125	1.0121527777777777	1.0562500000000001	1.0138888888888888
bm0009	28584084	33	31	True	1.7153993195564516	1.142483366935484	1.0078964213709678	1.2326582661290322	1.0003286290322582	1.0461469254032258	1.103594002016129	1.0296118951612903
bm0010	27148350	62	61	True	1.1969795081967214	1.0437745901639344	0.6933688524590164	1.0282540983606558	1.000983606557377	1.0018483606557378	1.0081967213114753	0.9344262295081968
bm0011	21968890	118	104	True	1.3007722355769231	1.0692025240384615	0.7740546875	1.055365985576923	1.0000390625	1.0122235576923078	1.0479104567307693	0.9266826923076923
bm0012	26751566	22	17	True	1.465391544117647	1.1200220588235295	0.8194834558823529	1.153392463235294	0.9988897058823529	1.0400772058823529	1.129685661764706	0.9990808823529411
bm0013	22102804	60	54	True	1.8809554398148147	1.2602717013888889	1.1535969328703704	1.2534210069444445	0.9991412037037037	1.0606157407407408	1.1893564814814814	0.9259259259259259
