Binary representation	Minimal Expression	Bias	Average Sensitivity	Boolean Complexity	NCF	Isomorphisms
0001100111100001	(a * !b * (!c + !d)) + (!a * ((c * d) + (!c * !d * b))) + (c * d * b)	7	2.5	13	False	64
0000011001111001	(b * ((!c * ((!d * a) + (d * !a))) + (c * !d * !a))) + (a * ((c * (d + !b)) + (d * !b)))	7	2.75	15	False	96
0001011001101010	(d * ((!a * ((!b * c) + (b * !c))) + (a * !b * !c))) + (!d * ((a * (b + c)) + (b * c)))	7	2.75	15	False	384
0001011010010110	(b * ((!c * d) + (c * !d))) + (!b * ((c * d) + (a * !c * !d)))	7	2.75	11	False	32
0001011010011001	(b * !a * ((!c * d) + (c * !d))) + (a * ((c * d) + (!c * !d))) + (!b * c * d)	7	2.75	14	False	48
0001011010101001	(!b * ((c * !a * d) + (a * !d))) + (b * ((c * ((a * d) + (!a * !d))) + (!c * !a * d))) + (!c * a * !d)	7	3.0	18	False	96
0001011001101001	(((!c * d) + (c * !d)) * ((!a * b) + (a * !b))) + (a * b * ((c * d) + (!c * !d))) + (c * d * !a * !b)	7	3.5	18	False	8
0000000011111111	a	8	1.0	1	False	64
0000000101111111	(b * (a + (c * d))) + (a * (c + d))	8	1.5	7	False	96
0000000110111111	(b * (a + (c * d))) + (a * (c + !d))	8	1.5	7	False	192
0000000111101111	(a * (!c + !d)) + (b * c * d)	8	1.5	6	False	192
0000001100111111	(a * (b + c)) + (b * c)	8	1.5	5	False	192
0000001101011111	(a * (d + b)) + (c * b)	8	1.5	5	False	64
0000001111001111	(a * !c) + (b * c)	8	1.5	4	False	8
0000000111111110	(a * (!b + !c + !d)) + (b * c * d * !a)	8	1.75	8	False	384
0000001101101111	(b * (c + a)) + (a * ((!d * c) + (d * !c)))	8	1.75	8	False	384
0000001111010111	(a * (d + (!b * !c))) + (b * c)	8	1.75	6	False	64
0000001111011011	(a * ((!b * d) + (!c * !d))) + (b * c)	8	1.75	7	False	64
0000001111011101	(a * (d + !c)) + (b * c * !a)	8	1.75	6	False	192
0000011001110111	(a + (b * (!c + !d))) * (c + d)	8	1.75	6	False	192
0000011110110011	(c + ((!a + !d) * (d + !b))) * (a + b)	8	1.75	7	False	192
0000001101111101	(b * ((!c * a) + (c * !a))) + (a * (d + (!b * c)))	8	2.0	9	False	192
0000001101111110	(a + (b * c)) * (d + b + c) * (!b + !c + !d + !a)	8	2.0	10	False	96
0000001111011110	(a * (!c + (d * !b))) + (c * b * (!d + !a))	8	2.0	8	False	192
0000001111111100	(a * (!b + !c)) + (b * c * !a)	8	2.0	6	False	192
0000011001101111	((a + b) * ((!c * d) + (c * !d))) + (a * b)	8	2.0	8	False	384
0000011001111110	(a + (b * (c + d))) * (b + c + d) * (!b + !c + !d)	8	2.0	10	False	12
0000011010011111	(a * ((c * d) + (!c * !d))) + (b * ((!c * d) + (c * !d)))	8	2.0	10	False	96
0000011010110111	(a * (c + (!d * !b))) + (b * ((!c * d) + (c * !d)))	8	2.0	9	False	48
0000011010111011	(b * ((!a * !c * d) + (c * !d))) + (a * (c + !d))	8	2.0	9	False	96
0000011011110011	(a * (c + !b)) + (b * ((!d * c) + (d * !a * !c)))	8	2.0	9	False	192
0000011011110110	(b * ((!c * d) + (c * !d))) + (a * !b)	8	2.0	7	False	192
0000011101110110	(c + d) * (a + b) * (!a + !b + !c + !d)	8	2.0	8	False	192
0000011110110101	(c * ((d * a) + (!a * b))) + (d * b) + (!d * a * !b)	8	2.0	10	False	384
0000011111100011	(b * (c + (d * !a))) + (a * ((!d * c) + (!b * !c)))	8	2.0	9	False	24
0000011111100110	(a + b) * (c + d + !b) * (!a + !c + !d)	8	2.0	8	False	192
0000011111110001	(b * ((c * (d + !a)) + (d * !a))) + (a * !b)	8	2.0	8	False	96
0000011111110010	(b * ((!a * d) + (c * !d))) + (a * !b)	8	2.0	7	False	192
0000111111110000	(a * !b) + (!a * b)	8	2.0	4	False	48
0001011110000111	(b * (c + d)) + (!a * c * d) + (!c * !d * a * !b)	8	2.0	10	False	192
0001011110001011	(b * (c + (!a * d))) + (!a * c * d) + (a * !c * !d)	8	2.0	10	False	384
0001011110001110	(b * ((!c * d) + (c * !d))) + (a * !c * !d) + (!a * c * d)	8	2.0	11	False	192
0001100111110001	(a * !b) + (c * d) + (!a * !c * !d * b)	8	2.0	8	False	384
0001100111111000	(a * !b) + (!c * !d * b) + (!a * c * d)	8	2.0	8	False	192
0001101111011000	(a * ((!b * d) + (!c * !d))) + (!a * ((c * d) + (b * !d)))	8	2.0	10	False	384
0000011001111011	(c * (a + (!d * b))) + (a * ((!d * b) + (d * !b))) + (!c * !a * d * b)	8	2.25	13	False	96
0000011010111101	(b * ((!c * d) + (!a * c * !d))) + (a * ((!d * (!b + !c)) + (c * d)))	8	2.25	12	False	384
0000011101111010	(c + d + (a * b)) * (a + b) * (!a + !b + !d)	8	2.25	9	False	48
0000011110110110	(c + ((d + !b) * (!d + b))) * (a + b) * (!a + !c + !d + !b)	8	2.25	11	False	192
0000011110111100	(a * ((!b * c) + (!d * !c))) + (b * ((!a * c) + (d * !c)))	8	2.25	10	False	384
0000011111111000	(b * !a * (c + d)) + (a * (!b + (!c * !d)))	8	2.25	8	False	96
0001011010001111	(a * (b + (!c * !d))) + (b * ((!c * d) + (c * !d))) + (!a * !b * c * d)	8	2.25	13	False	192
0001011010101110	(b * ((!c * d) + (c * !d))) + (a * !d) + (!a * !b * c * d)	8	2.25	11	False	384
0001011110011001	(b * !a * (c + d)) + (c * d) + (!c * a * !d)	8	2.25	9	False	8
0001011110011010	(b * ((!a * d) + (c * !d))) + (!b * c * d) + (a * !c * !d)	8	2.25	11	False	16
0001011110101100	(b * ((!a * c) + (!c * d))) + (a * !d * (!b + !c)) + (!a * c * d)	8	2.25	12	False	64
0001100111101010	(a * (!d + (!b * !c))) + (b * !d * !c) + (!a * d * c)	8	2.25	10	False	64
0000011011111001	(b * !a * ((!c * d) + (c * !d))) + (a * (!b + (c * d) + (!c * !d)))	8	2.5	12	False	192
0000011101111001	(!a + !b + ((c + !d) * (!c + d))) * (c + d + (a * b)) * (a + b)	8	2.5	12	False	64
0000011111101001	(!c + ((d + !a + !b) * (!d + b))) * (c + ((d + a) * (!d + !a + !b))) * (a + b)	8	2.5	14	False	64
0001011001101110	((a + b) * ((!c * d) + (c * !d))) + (a * b * !d) + (!a * !b * c * d)	8	2.5	13	False	96
0001011010010111	(a * ((c * d) + (!b * !c * !d))) + (b * ((!c * d) + (c * !d))) + (!b * c * d)	8	2.5	14	False	96
