decimal_rep	bias	avg_sensitivity	CF	NCF	cana_depth	expressions	isomorphisms
1	1	0.1875	True	True	6	abcdef	64
4295032833	3	0.4375	True	True	6	(a+b)cdef	960
31	5	0.625	True	True	6	abc(d+ef)	3840
4383	7	0.8125	True	False	2	ab(cd+ef)	2880
127	7	0.75	True	True	6	abc(d+(e+f))	1280
1911	9	0.9375	True	False	2	ab(c+d)(e+f)	2880
511	9	0.875	True	True	6	ab(c+def)	3840
16843263	11	1.0625	True	False	1	a(bc+def)	3840
2047	11	1.0	True	True	6	ab(c+d(e+f))	11520
30591	13	1.0625	True	True	6	ab(cd+(e+f))	5760
133146017823	15	1.25	True	False	1	(a+b)c(d+ef)	11520
72340172838076927	15	1.3125	False	False	0	(abc+def)	640
32767	15	1.0625	True	True	6	ab(c+(d+(e+f)))	960
117901311	17	1.3125	True	False	1	a(bc+d(e+f))	11520
131071	17	1.125	True	True	6	a(b+cdef)	1920
281479271809023	19	1.3125	False	False	0	(ab+cdef)	960
524287	19	1.25	True	True	6	a(b+cd(e+f))	11520
8355711	21	1.375	True	False	1	a(b+c)(d+(e+f))	3840
18825128907039	21	1.5625	False	False	0	(a+b)(cd+ef)	2880
2097151	21	1.3125	True	True	6	a(b+c(d+ef))	23040
8388607	23	1.3125	True	True	6	a(b+c(d+(e+f)))	7680
287309823	23	1.375	True	False	2	a(b+(cd+ef))	5760
133666119455	25	1.5625	False	False	0	(a+bc)(d+ef)	5760
1970354902269951	25	1.5625	False	False	0	(ab+cd(e+f))	5760
33554431	25	1.3125	True	True	6	a(b+(c+def))	3840
125304831	25	1.375	True	False	2	a(b+(c+d)(e+f))	5760
2194761777663	27	1.5	False	False	0	(a+b)(c+def)	3840
134217727	27	1.3125	True	True	6	a(b+(c+d(e+f)))	11520
8207807743863	27	1.6875	False	False	0	(a+b)(c+d)(e+f)	960
506381209866536959	29	1.5625	False	False	0	(abc+d(e+f))	3840
536870911	29	1.25	True	True	6	a(b+(c+(d+ef)))	3840
2147483647	31	1.125	True	True	6	a(b+(c+(d+(e+f))))	384
8725857424113663	31	1.625	False	False	0	(ab+c(d+ef))	11520
