decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.1875	True	True	6	111111	abcdef
4295032833	3	0.4375	True	True	6	(1+1)1111	(a+b)cdef
31	5	0.625	True	True	6	111(1+11)	abc(d+ef)
4383	7	0.8125	True	False	2	11(11+11)	ab(cd+ef)
127	7	0.75	True	True	6	111(1+(1+1))	abc(d+(e+f))
1911	9	0.9375	True	False	2	11(1+1)(1+1)	ab(c+d)(e+f)
511	9	0.875	True	True	6	11(1+111)	ab(c+def)
16843263	11	1.0625	True	False	1	1(11+111)	a(bc+def)
2047	11	1.0	True	True	6	11(1+1(1+1))	ab(c+d(e+f))
30591	13	1.0625	True	True	6	11(11+(1+1))	ab(cd+(e+f))
133146017823	15	1.25	True	False	1	(1+1)1(1+11)	(a+b)c(d+ef)
72340172838076927	15	1.3125	False	False	0	(111+111)	(abc+def)
32767	15	1.0625	True	True	6	11(1+(1+(1+1)))	ab(c+(d+(e+f)))
117901311	17	1.3125	True	False	1	1(11+1(1+1))	a(bc+d(e+f))
131071	17	1.125	True	True	6	1(1+1111)	a(b+cdef)
281479271809023	19	1.3125	False	False	0	(11+1111)	(ab+cdef)
524287	19	1.25	True	True	6	1(1+11(1+1))	a(b+cd(e+f))
8355711	21	1.375	True	False	1	1(1+1)(1+(1+1))	a(b+c)(d+(e+f))
18825128907039	21	1.5625	False	False	0	(1+1)(11+11)	(a+b)(cd+ef)
2097151	21	1.3125	True	True	6	1(1+1(1+11))	a(b+c(d+ef))
8388607	23	1.3125	True	True	6	1(1+1(1+(1+1)))	a(b+c(d+(e+f)))
287309823	23	1.375	True	False	2	1(1+(11+11))	a(b+(cd+ef))
133666119455	25	1.5625	False	False	0	(1+11)(1+11)	(a+bc)(d+ef)
1970354902269951	25	1.5625	False	False	0	(11+11(1+1))	(ab+cd(e+f))
33554431	25	1.3125	True	True	6	1(1+(1+111))	a(b+(c+def))
125304831	25	1.375	True	False	2	1(1+(1+1)(1+1))	a(b+(c+d)(e+f))
2194761777663	27	1.5	False	False	0	(1+1)(1+111)	(a+b)(c+def)
134217727	27	1.3125	True	True	6	1(1+(1+1(1+1)))	a(b+(c+d(e+f)))
8207807743863	27	1.6875	False	False	0	(1+1)(1+1)(1+1)	(a+b)(c+d)(e+f)
506381209866536959	29	1.5625	False	False	0	(111+1(1+1))	(abc+d(e+f))
536870911	29	1.25	True	True	6	1(1+(1+(1+11)))	a(b+(c+(d+ef)))
2147483647	31	1.125	True	True	6	1(1+(1+(1+(1+1))))	a(b+(c+(d+(e+f))))
8725857424113663	31	1.625	False	False	0	(11+1(1+11))	(ab+c(d+ef))
8791932209151	33	1.625	False	False	0	(1+1)(1+1(1+1))	(a+b)(c+d(e+f))
8589934591	33	1.125	True	True	6	(1+11111)	(a+bcdef)
8759942804610847	35	1.5625	False	False	0	(1+(1+1))(1+11)	(a+(b+c))(d+ef)
34359738367	35	1.25	True	True	6	(1+111(1+1))	(a+bcd(e+f))
1233723648051773439	37	1.6875	False	False	0	(11+(11+11))	(ab+(cd+ef))
35747867511488511	37	1.5	False	False	0	(11+1(1+(1+1)))	(ab+c(d+(e+f)))
137438953471	37	1.3125	True	True	6	(1+11(1+11))	(a+bc(d+ef))
18829136625663	39	1.375	True	False	2	(1+1(11+11))	(a+b(cd+ef))
131389349394303	39	1.5625	False	False	0	(1+1)(11+(1+1))	(a+b)(cd+(e+f))
549755813887	39	1.3125	True	True	6	(1+11(1+(1+1)))	(a+bc(d+(e+f)))
506381209882853375	39	1.5625	False	False	0	(1(1+1)+1(1+1))	(a(b+c)+d(e+f))
2199023255551	41	1.3125	True	True	6	(1+1(1+111))	(a+b(c+def))
8211977469951	41	1.375	True	False	2	(1+1(1+1)(1+1))	(a+b(c+d)(e+f))
72341268037894143	43	1.375	True	False	1	(1+(11+111))	(a+(bc+def))
537906888301871103	43	1.5625	False	False	0	(11+(1+1)(1+1))	(ab+(c+d)(e+f))
8796093022207	43	1.3125	True	True	6	(1+1(1+1(1+1)))	(a+b(c+d(e+f)))
131391639519231	45	1.25	True	True	6	(1+1(11+(1+1)))	(a+b(cd+(e+f)))
140735340838911	45	1.3125	False	False	0	(1+1)(1+(1+(1+1)))	(a+b)(c+(d+(e+f)))
8759946577444863	47	1.3125	True	False	1	(1+(1+1)(1+11))	(a+(b+c)(d+ef))
140737488355327	47	1.125	True	True	6	(1+1(1+(1+(1+1))))	(a+b(c+(d+(e+f))))
2242545357995114495	49	1.25	True	False	1	(1(1+1)+(1+11))	(a(b+c)+(d+ef))
562949953421311	49	1.0625	True	True	6	(1+(1+1111))	(a+(b+cdef))
35887507618889599	49	1.3125	False	False	0	(1+(1+1))(1+(1+1))	(a+(b+c))(d+(e+f))
2251799813685247	51	1.0625	True	True	6	(1+(1+11(1+1)))	(a+(b+cd(e+f)))
35887509774794751	53	1.0625	True	False	1	(1+(1+1)(1+(1+1)))	(a+(b+c)(d+(e+f)))
9007199254740991	53	1.0	True	True	6	(1+(1+1(1+11)))	(a+(b+c(d+ef)))
8610732401905106943	55	0.9375	True	False	2	(11+(11+(1+1)))	(ab+(cd+(e+f)))
36028797018963967	55	0.875	True	True	6	(1+(1+1(1+(1+1))))	(a+(b+c(d+(e+f))))
144115188075855871	57	0.75	True	True	6	(1+(1+(1+111)))	(a+(b+(c+def)))
538180155470774271	57	0.8125	True	False	2	(1+(1+(1+1)(1+1)))	(a+(b+(c+d)(e+f)))
9187201950444158975	59	0.625	True	True	6	(1(1+1)+(1+(1+1)))	(a(b+c)+(d+(e+f)))
2305843009213693951	61	0.4375	True	True	6	(1+(1+(1+(1+11))))	(a+(b+(c+(d+ef))))
9223372036854775807	63	0.1875	True	True	6	(1+(1+(1+(1+(1+1)))))	(a+(b+(c+(d+(e+f)))))
