decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.01953125	True	True	10	1111111111	abcdefghij
4295032833	3	0.05078125	True	True	10	1111(1+1)1111	abcd(e+f)ghij
115792089237316195429848086744074588617446056455769168919041760803882641915905	5	0.078125	True	True	10	1(1+11)111111	a(b+cd)efghij
127	7	0.1015625	True	True	10	1111111(1+(1+1))	abcdefg(h+(i+j))
1552518092300708935148979488462502555256886017116696611139052038026050952686390294138808351425746051975485936543258552571992172437492537952888009039071254801973346087635212238826042061564373548322173208845697334362600084385464057857	7	0.10546875	True	False	6	(11+11)111111	(ab+cd)efghij
31611240361787321350634878907371798844035602899889290183297421701989157113430289	9	0.12890625	True	False	6	1(1+1)111(1+1)11	a(b+c)def(g+h)ij
115792089264276142096998726540203105341796590047689226336812880642240023625729	9	0.125	True	True	10	1(1+111)11111	a(b+cde)fghij
1552518092300708935148979488462502555256886017116696611139052038026050952686390294138808351425746051975485936543258552571992172437492537952888009039071254801973346114595158905976681857692890272672706800765754752133719922742845767681	11	0.15234375	True	False	5	(11+111)11111	(ab+cde)fghij
2047	11	0.1484375	True	True	10	111111(1+1(1+1))	abcdef(g+h(i+j))
39402006205568473678375313183005130705208687471240917129467941988193389155131088031078578416175602780924866222620673	13	0.16796875	True	True	10	1(1+(1+11))11111	a(b+(c+de))fghij
2381976569001166381972599823723216764935	15	0.1953125	True	False	5	11(1+11)111(1+1)	ab(c+de)fgh(i+j)
32767	15	0.18359375	True	True	10	111111(1+(1+(1+1)))	abcdef(g+(h+(i+j)))
72340172838076927	15	0.19921875	True	False	4	1111(111+111)	abcd(efg+hij)
28638903925142975638851156300055399216591976457777913407014243879824018428256240765590497980663081525874441773470609194560210781709249058515553150455856439149921661257180270054334237733869113844654358780254405097689327092229006959748833887505440833537	17	0.21484375	True	False	5	(11+1(1+1))11111	(ab+c(d+e))fghij
13407807933064345650616855954052280575871561581766254847276938654647315779524473594410390215120323278624403973746456073439568718650819676618587381889499137	17	0.203125	True	True	10	(1+1111)11111	(a+bcde)fghij
1552518092300708935148979488462502555261448457734318806357693209631751244011283522646060033104876287324341058144915622154259259110279462729877576900394300020109554070957345666827142350925067115086954562586727553377594308427952160769	19	0.2265625	True	True	10	(1+(1+1)11)11111	(a+(b+c)de)fghij
281479271809023	19	0.23046875	True	False	4	1111(11+1111)	abcd(ef+ghij)
10867626646104962546042856419237517886830139204140231644503852467422258708078984658522398379494276711453696481973270885523529971503023851421947260445810580023163136804622789331884180632534305471196730362050522476752651036675698327559	21	0.25	True	False	5	(1+(1+1))11111(1+1)	(a+(b+c))defgh(i+j)
4562440618684471204522036204610158368642229004560432594617385137146959687213683656805970448078936731166659642492224305649319571364724046947642912264171527234702611288019949330603928881693982721	21	0.24609375	True	True	10	(1+1(1+11))11111	(a+b(c+de))fghij
58766422156938403087432951567136223576742060391656460174562369807832491743812863916049742205750079235192702713531489243234792770956946758665925366840878436639	21	0.26171875	True	False	4	(1+1)1111(11+11)	(a+b)cdef(gh+ij)
5192376087906286159508272029237247	23	0.27734375	True	False	3	111(111+1111)	abc(def+ghij)
528294531135665246352339784916516606520399844128422231063109688515136405111986307932152636970000761968905056104312147794217786400925949400338173668847284333771364234491198835291342464593959846497878007455596762356645936490647331710898362509248772894571035356633248038913	23	0.265625	True	False	6	(1+(11+11))11111	(a+(bc+de))fghij
84162174444369509363047648492557931458934031467869867251102187298593809265835959756231825250112746111673226788512798573475466243063076465474272906035325026060097600745476145338912739096670129952326200894456594433	23	0.26171875	True	True	10	(1+1(1+(1+1)))11111	(a+b(c+(d+e)))fghij
133666119455	25	0.29296875	True	False	4	1111(1+11)(1+11)	abcd(e+fg)(h+ij)
28638903925142975638851156300055399216676138632222282916377291528315514083729293932459457980870434712675726831820958004528150768873805190552687493469077223633232999300840848627487050699967538835091911504858965813818459719174927267814383509707847368705	25	0.28125	True	False	6	(1+(1+1)(1+1))11111	(a+(b+c)(d+e))fghij
1552518092662182721947793502516357996422126032118227843314987992653396267087903883915705626082434299594108995559518746101625158394627394963752187559400456400005056983679316831320150549810371495443241789839027540716509867635086721025	25	0.27734375	True	True	10	(1+(1+111))11111	(a+(b+cde))fghij
76843841186037759	25	0.29296875	True	False	4	1111(11+(1+1)11)	abcd(ef+(g+h)ij)
6174979349942993036805916786948700639856749408039647362503963946467502145814455461875570345106184061566788598544294068551454949910333740965172391883169839122183	27	0.31640625	True	False	4	(1+1)111(1+1)1(1+1)	(a+b)cde(f+g)h(i+j)
9426286223860309164543	27	0.3046875	True	False	4	111(1+1)1(1+111)	abc(d+e)f(g+hij)
28638903925142975638851156300416873003390790471831768848179483894825549660431929389816312604433964460216619426044363930261939096762480924456189549516555330636595891913474826081785872803621373893477004582771081759055058945427455872369345116032724893697	27	0.29296875	True	True	10	(1+(1+1(1+1)))11111	(a+(b+c(d+e)))fghij
2139062271	29	0.3046875	True	True	10	11111(11+(1+(1+1)))	abcde(fg+(h+(i+j)))
72340172854788095	29	0.32421875	True	False	4	1111(1(1+1)+111)	abcd(e(f+g)+hij)
