decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.03515625	True	True	9	111111111	abcdefghi
340282366920938463481821351505477763073	3	0.08984375	True	True	9	1(1+1)111111	a(b+c)defghi
31	5	0.13671875	True	True	9	111111(1+11)	abcdef(g+hi)
39402006196394479214415027136064523887590553065872314977980846013346449130061698275692255149584597951633472719159297	7	0.17578125	True	True	9	(1+(1+1))111111	(a+(b+c))defghi
39402006196394479212279040100143613805195531359702762863371864389254409679350820878446906985550369310503644436627457	7	0.18359375	True	False	5	(11+11)11111	(ab+cd)efghi
31611240361787321350634878907371798844035602899889290183297421701989157113430289	9	0.22265625	True	False	5	(1+1)111(1+1)11	(a+b)cde(f+g)hi
511	9	0.21484375	True	True	9	11111(1+111)	abcde(f+ghi)
2047	11	0.25390625	True	True	9	11111(1+1(1+1))	abcde(f+g(h+i))
16843263	11	0.26171875	True	False	4	1111(11+111)	abcd(ef+ghi)
6277197517819508820305825828020716048610421399380406894593	13	0.28515625	True	True	9	1(1+(1+11))1111	a(b+(c+de))fghi
726838724464837218599029455425263326888406060066394789825554878788750296833113747870880144400143091464408212943425130992865447577124865	15	0.30859375	True	True	9	(1+(1+(1+1)))11111	(a+(b+(c+d)))efghi
2039583	15	0.33203125	True	False	4	1111(1+1)(1+11)	abcd(e+f)(g+hi)
72340172838076927	15	0.33984375	True	False	3	111(111+111)	abc(def+ghi)
117901311	17	0.36328125	True	False	4	1111(11+1(1+1))	abcd(ef+g(h+i))
131071	17	0.33984375	True	True	9	1111(1+1111)	abcd(e+fghi)
17956863	19	0.37890625	True	True	9	1111(1+(1+1)11)	abcd(e+(f+g)hi)
281479271809023	19	0.38671875	True	False	3	111(11+1111)	abc(de+fghi)
1491457614214473285440822983648509035548959	21	0.44140625	True	False	3	1(1+1)11(11+11)	a(b+c)de(fg+hi)
2097151	21	0.41015625	True	True	9	1111(1+1(1+11))	abcd(e+f(g+hi))
