decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.3125	True	True	5	11111	abcde
7	3	0.6875	True	True	5	111(1+1)	abc(d+e)
31	5	0.9375	True	True	5	11(1+11)	ab(c+de)
127	7	1.0625	True	True	5	11(1+(1+1))	ab(c+(d+e))
4383	7	1.1875	True	False	1	1(11+11)	a(bc+de)
511	9	1.1875	True	True	5	1(1+111)	a(b+cde)
1911	9	1.3125	True	False	1	1(1+1)(1+1)	a(b+c)(d+e)
2047	11	1.3125	True	True	5	1(1+1(1+1))	a(b+c(d+e))
16843263	11	1.4375	False	False	0	(11+111)	(ab+cde)
30591	13	1.3125	True	True	5	1(11+(1+1))	a(bc+(d+e))
2039583	15	1.5625	False	False	0	(1+1)(1+11)	(a+b)(c+de)
32767	15	1.1875	True	True	5	1(1+(1+(1+1)))	a(b+(c+(d+e)))
117901311	17	1.5625	False	False	0	(11+1(1+1))	(ab+c(d+e))
131071	17	1.1875	True	True	5	(1+1111)	(a+bcde)
524287	19	1.3125	True	True	5	(1+11(1+1))	(a+bc(d+e))
8355711	21	1.4375	False	False	0	(1+1)(1+(1+1))	(a+b)(c+(d+e))
2097151	21	1.3125	True	True	5	(1+1(1+11))	(a+b(c+de))
287309823	23	1.3125	True	False	1	(1+(11+11))	(a+(bc+de))
8388607	23	1.1875	True	True	5	(1+1(1+(1+1)))	(a+b(c+(d+e)))
33554431	25	1.0625	True	True	5	(1+(1+111))	(a+(b+cde))
125304831	25	1.1875	True	False	1	(1+(1+1)(1+1))	(a+(b+c)(d+e))
134217727	27	0.9375	True	True	5	(1+(1+1(1+1)))	(a+(b+c(d+e)))
536870911	29	0.6875	True	True	5	((1+1)+(1+11))	((a+b)+(c+de))
2147483647	31	0.3125	True	True	5	(1+(1+(1+(1+1))))	(a+(b+(c+(d+e))))
