decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.0625	True	True	8	11111111	abcdefgh
4295032833	3	0.15625	True	True	8	11(1+1)1111	ab(c+d)efgh
31	5	0.234375	True	True	8	11111(1+11)	abcde(f+gh)
6277101735386680764176071790128604879584177077448784019457	7	0.3125	True	False	4	(11+11)1111	(ab+cd)efgh
6277101736848182401506974708411517874814724153223283736577	7	0.296875	True	True	8	(1+(1+1))11111	(a+(b+c))defgh
1911	9	0.375	True	False	4	1111(1+1)(1+1)	abcd(e+f)(g+h)
511	9	0.359375	True	True	8	1111(1+111)	abcd(e+fgh)
1461523938416389008123852738184089783721235906561	11	0.421875	True	True	8	(1+1(1+1))1111	(a+b(c+d))efgh
16843263	11	0.4375	True	False	3	111(11+111)	abc(de+fgh)
26960358049567071833025758531567443250298050725965797573758388600833	13	0.46875	True	True	8	(11+(1+1))1111	(ab+(c+d))efgh
32767	15	0.5	True	True	8	1111(1+(1+(1+1)))	abcd(e+(f+(g+h)))
10548753374549092367936461896669810655263	15	0.546875	True	False	3	(1+1)111(1+11)	(a+b)cde(f+gh)
72340172838076927	15	0.5625	True	False	2	11(111+111)	ab(cde+fgh)
117901311	17	0.59375	True	False	3	111(11+1(1+1))	abc(de+f(g+h))
131071	17	0.546875	True	True	8	111(1+1111)	abc(d+efgh)
281479271809023	19	0.625	True	False	2	11(11+1111)	ab(cd+efgh)
524287	19	0.609375	True	True	8	111(1+11(1+1))	abc(d+ef(g+h))
43215860598959184862191311641195675910271	21	0.671875	True	False	3	(1+1)111(1+(1+1))	(a+b)cde(f+(g+h))
80852079293893806395679	21	0.71875	True	False	2	1(1+1)1(11+11)	a(b+c)d(ef+gh)
2097151	21	0.65625	True	True	8	111(1+1(1+11))	abc(d+e(f+gh))
287309823	23	0.703125	True	False	4	111(1+(11+11))	abc(d+(ef+gh))
8388607	23	0.6875	True	True	8	111(1+1(1+(1+1)))	abc(d+e(f+(g+h)))
5192376087906286159508272029237247	23	0.75	True	False	1	1(111+1111)	a(bcd+efgh)
125304831	25	0.734375	True	False	4	111(1+(1+1)(1+1))	abc(d+(e+f)(g+h))
33554431	25	0.71875	True	True	8	111(1+(1+111))	abc(d+(e+fgh))
1970354902269951	25	0.78125	True	False	2	11(11+11(1+1))	ab(cd+ef(g+h))
571857792142420148255	25	0.78125	True	False	2	1(1+11)1(1+11)	a(b+cd)e(f+gh)
650279603185913403713760602726968005232503	27	0.84375	True	False	2	(1+1)11(1+1)(1+1)	(a+b)cd(e+f)(g+h)
173884289496599554839210710619299136930303	27	0.796875	True	False	2	(1+1)11(1+111)	(a+b)cd(e+fgh)
134217727	27	0.75	True	True	8	111(1+(1+1(1+1)))	abc(d+(e+f(g+h)))
506381209866536959	29	0.84375	True	False	2	11(111+1(1+1))	ab(cde+f(g+h))
536870911	29	0.765625	True	True	8	111(1+(1+(1+11)))	abc(d+(e+(f+gh)))
8725857424113663	31	0.890625	True	False	2	11(11+1(1+11))	ab(cd+e(f+gh))
1766874025136433896750911497805568136923323180981774075523881651146981375	31	0.9375	False	False	0	(1111+1111)	(abcd+efgh)
2147483647	31	0.765625	True	True	8	111(1+(1+(1+(1+1))))	abc(d+(e+(f+(g+h))))
696558005087161034747288306531712981010431	33	0.921875	True	False	2	(1+1)11(1+1(1+1))	(a+b)cd(e+f(g+h))
8589934591	33	0.796875	True	True	8	11(1+11111)	ab(c+defgh)
5731465400311866747240212742422207904090227199	33	0.96875	True	False	1	(1+1)1(11+111)	(a+b)c(de+fgh)
80853312998717016445215	35	1.015625	True	False	1	1(1+11)(11+11)	a(b+cd)(ef+gh)
79228162532711081675843436543	35	0.875	True	False	1	1(11+11111)	a(bc+defgh)
2342772245228624478335	35	0.9375	True	False	2	1(1+11)1(1+(1+1))	a(b+cd)e(f+(g+h))
34359738367	35	0.859375	True	True	8	11(1+111(1+1))	ab(c+def(g+h))
1233723648051773439	37	1.0	True	False	2	11(11+(11+11))	ab(cd+(ef+gh))
137438953471	37	0.90625	True	True	8	11(1+11(1+11))	ab(c+de(f+gh))
35747867511488511	37	0.953125	True	False	2	11(11+1(1+(1+1)))	ab(cd+e(f+(g+h)))
36346632615344003116557904204267519	37	1.03125	True	False	1	1(111+11(1+1))	a(bcd+ef(g+h))
188722506346969502831180309720972102752086355081760583016308720205831	39	1.0	True	False	2	(11+(1+1))11(1+1)	(ab+(c+d))ef(g+h)
549755813887	39	0.9375	True	True	8	11(1+11(1+(1+1)))	ab(c+de(f+(g+h)))
506381209882853375	39	1.0	True	False	2	11(1(1+1)+1(1+1))	ab(c(d+e)+f(g+h))
18829136625663	39	0.953125	True	False	4	11(1+1(11+11))	ab(c+d(ef+gh))
26959946673427741531515197488526605382048662297355296634331188953087	39	1.0	False	False	0	(111+11111)	(abc+defgh)
554597137728977571705134252031	41	1.03125	True	False	1	1(11+111(1+1))	a(bc+def(g+h))
2199023255551	41	0.96875	True	True	8	11(1+1(1+111))	ab(c+d(e+fgh))
8211977469951	41	0.984375	True	False	4	11(1+1(1+1)(1+1))	ab(c+d(e+f)(g+h))
72341268037894143	43	1.015625	True	False	3	11(1+(11+111))	ab(c+(de+fgh))
537906888301871103	43	1.0625	True	False	2	11(11+(1+1)(1+1))	ab(cd+(e+f)(g+h))
8796093022207	43	1.0	True	True	8	11(1+1(1+1(1+1)))	ab(c+d(e+f(g+h)))
37623665626848690698133279	45	1.171875	True	False	1	1(1+1)(1+1)(1+11)	a(b+c)(d+e)(f+gh)
24616085236810599231077234872125278955573695899053916671	45	1.21875	False	False	0	(1+1)(111+111)	(a+b)(cde+fgh)
604444463203974071222271	45	1.03125	True	False	2	1(1+1)1(1+(1+(1+1)))	a(b+c)d(e+(f+(g+h)))
173884289537085145883999787131794823840255	45	1.09375	True	False	1	(1+11)1(1+111)	(a+bc)d(e+fgh)
131391639519231	45	1.015625	True	True	8	11(1+1(11+(1+1)))	ab(c+d(ef+(g+h)))
140737488355327	47	1.015625	True	True	8	11(1+1(1+(1+(1+1))))	ab(c+d(e+(f+(g+h))))
8759946577444863	47	1.0625	True	False	3	11(1+(1+1)(1+11))	ab(c+(d+e)(f+gh))
2456073038514043531822297513983	47	1.140625	True	False	1	1(11+11(1+11))	a(bc+de(f+gh))
797191920394108457050361117346332819707190488835995570471039	49	1.203125	True	False	1	(11+11)1(1+(1+1))	(ab+cd)e(f+(g+h))
35887507618889599	49	1.09375	True	False	2	11(1+(1+1))(1+(1+1))	ab(c+(d+e))(f+(g+h))
562949953421311	49	1.03125	True	True	8	11(1+(1+1111))	ab(c+(d+efgh))
27512536906199821789383722656133675187217448130458020357280031	49	1.3125	False	False	0	(11+11)(11+11)	(ab+cd)(ef+gh)
2242545357995114495	49	1.078125	True	False	3	11(1(1+1)+(1+11))	ab(c(d+e)+(f+gh))
2251799813685247	51	1.0625	True	True	8	11(1+(1+11(1+1)))	ab(c+(d+ef(g+h)))
40119737170161678194832362010287651947654088703	51	1.25	True	False	1	(1+1)1(11+1(1+1))	(a+b)c(de+f(g+h))
2417833193048130298445823	51	1.109375	True	False	1	1(1+1)(1+1111)	a(b+c)(d+efgh)
160963658725094870944756432904388607	51	1.203125	True	False	1	1(111+1(1+11))	a(bcd+e(f+gh))
347257036380872670966401235681279	53	1.25	True	False	1	1(11+1(11+11))	a(bc+d(ef+gh))
9007199254740991	53	1.078125	True	True	8	11(1+(1+1(1+11)))	ab(c+(d+e(f+gh)))
5192376087906286159789742710849535	53	1.15625	True	False	1	1(1(1+1)+1111)	a(b(c+d)+efgh)
10061976641654307372290950561791	53	1.203125	True	False	1	1(11+11(1+(1+1)))	a(bc+de(f+(g+h)))
35887509774794751	53	1.09375	True	False	3	11(1+(1+1)(1+(1+1)))	ab(c+(d+e)(f+(g+h)))
188719626713994190720606382419686237674340636081487076440292552867839	53	1.28125	False	False	0	(111+111(1+1))	(abc+def(g+h))
5731465401646327525474708232103397025401340415	55	1.328125	False	False	0	(1+11)(11+111)	(a+bc)(de+fgh)
36028797018963967	55	1.078125	True	True	8	11(1+(1+1(1+(1+1))))	ab(c+(d+e(f+(g+h))))
45307242090908059251839434883706783295358313103391	55	1.25	True	False	1	(1+1(1+1))1(1+11)	(a+b(c+d))e(f+gh)
8610732401905106943	55	1.09375	True	False	4	11(11+(11+(1+1)))	ab(cd+(ef+(g+h)))
144115188075855871	57	1.078125	True	True	8	11(1+(1+(1+111)))	ab(c+(d+(e+fgh)))
