decimal_rep	hamming_weight	avg_sensitivity	CF	NCF	C_depth	temp_exp	expressions
1	1	0.109375	True	True	7	1111111	abcdefg
18446744078004518913	3	0.265625	True	True	7	(1+1)11111	(a+b)cdefg
18447025552981295105	5	0.390625	True	True	7	(1+11)1111	(a+bc)defg
4383	7	0.515625	True	False	3	111(11+11)	abc(de+fg)
79229371458530977775699951617	7	0.484375	True	True	7	(1+(1+1))1111	(a+(b+c))defg
30065229831	9	0.609375	True	False	3	1(1+1)11(1+1)	a(b+c)de(f+g)
511	9	0.578125	True	True	7	111(1+111)	abc(d+efg)
16843263	11	0.703125	True	False	2	11(11+111)	ab(cd+efg)
2047	11	0.671875	True	True	7	111(1+1(1+1))	abc(d+e(f+g))
30591	13	0.734375	True	True	7	111(11+(1+1))	abc(de+(f+g))
2039583	15	0.859375	True	False	2	11(1+1)(1+11)	ab(c+d)(e+fg)
72340172838076927	15	0.890625	True	False	1	1(111+111)	a(bcd+efg)
32767	15	0.765625	True	True	7	111(1+(1+(1+1)))	abc(d+(e+(f+g)))
131071	17	0.828125	True	True	7	11(1+1111)	ab(c+defg)
117901311	17	0.921875	True	False	2	11(11+1(1+1))	ab(cd+e(f+g))
524287	19	0.921875	True	True	7	11(1+11(1+1))	ab(c+de(f+g))
281479271809023	19	0.953125	True	False	1	1(11+1111)	a(bc+defg)
80852079293893806395679	21	1.109375	True	False	1	(1+1)1(11+11)	(a+b)c(de+fg)
554605600209716844429899661319	21	1.015625	True	False	2	(1+(1+1))11(1+1)	(a+(b+c))de(f+g)
2097151	21	0.984375	True	True	7	11(1+1(1+11))	ab(c+d(e+fg))
5192376087906286159508272029237247	23	1.140625	False	False	0	(111+1111)	(abc+defg)
287309823	23	1.046875	True	False	3	11(1+(11+11))	ab(c+(de+fg))
8388607	23	1.015625	True	True	7	11(1+1(1+(1+1)))	ab(c+d(e+(f+g)))
1970354902269951	25	1.171875	True	False	1	1(11+11(1+1))	a(bc+de(f+g))
133666119455	25	1.171875	True	False	1	1(1+11)(1+11)	a(b+cd)(e+fg)
125304831	25	1.078125	True	False	3	11(1+(1+1)(1+1))	ab(c+(d+e)(f+g))
33554431	25	1.046875	True	True	7	11(1+(1+111))	ab(c+(d+efg))
9426286223860309164543	27	1.171875	True	False	1	(1+1)1(1+111)	(a+b)c(d+efg)
8207807743863	27	1.265625	True	False	1	1(1+1)(1+1)(1+1)	a(b+c)(d+e)(f+g)
134217727	27	1.078125	True	True	7	11(1+(1+1(1+1)))	ab(c+(d+e(f+g)))
506381209866536959	29	1.234375	True	False	1	1(111+1(1+1))	a(bcd+e(f+g))
536870911	29	1.078125	True	True	7	11(1+(1+(1+11)))	ab(c+(d+(e+fg)))
2147483647	31	1.046875	True	True	7	11(1+(1+(1+(1+1))))	ab(c+(d+(e+(f+g))))
8725857424113663	31	1.296875	True	False	1	1(11+1(1+11))	a(bc+d(e+fg))
37760485127675250214911	33	1.328125	True	False	1	(1+1)1(1+1(1+1))	(a+b)c(d+e(f+g))
8589934591	33	1.078125	True	True	7	1(1+11111)	a(b+cdefg)
310703361999522627240133119	33	1.421875	False	False	0	(1+1)(11+111)	(a+b)(cd+efg)
2342772245228624478335	35	1.328125	True	False	1	(1+11)1(1+(1+1))	(a+bc)d(e+(f+g))
34359738367	35	1.171875	True	True	7	1(1+111(1+1))	a(b+cde(f+g))
79228162532711081675843436543	35	1.203125	False	False	0	(11+11111)	(ab+cdefg)
80853312998717016445215	35	1.484375	False	False	0	(1+11)(11+11)	(a+bc)(de+fg)
36346632615344003116557904204267519	37	1.484375	False	False	0	(111+11(1+1))	(abc+de(f+g))
